"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jacory Croskey-Merritt","WAS","182.8","821.7","7.5","12.0","89.0","0.2","1.8","145.8"
"","high","196.3","859.0","8.0","16.1","119.0","0.7","1.5","155.5"
"","low","172.0","758.0","7.0","9.0","71.0","0.0","2.0","137.0"
"Jordan Mason","MIN","192.8","878.0","6.1","14.5","75.8","0.1","1.1","145.1"
"","high","195.0","904.0","7.0","18.0","83.4","0.3","1.0","151.6"
"","low","189.0","831.0","5.0","12.0","62.0","0.0","1.2","139.8"
"Blake Corum","LAR","167.6","801.5","6.4","11.9","80.4","0.2","0.7","138.6"
"","high","181.9","837.5","7.3","16.7","117.1","0.6","0.4","154.6"
"","low","159.0","745.0","6.0","6.0","35.0","0.0","1.0","119.9"
"Tyjae Spears","TEN","94.8","379.6","3.0","45.9","306.1","1.2","0.7","138.1"
"","high","105.5","446.7","4.0","50.0","336.4","1.6","0.5","150.8"
"","low","86.0","344.0","2.0","38.0","255.0","1.0","1.0","124.9"
"Alvin Kamara","NO","128.2","493.7","2.8","35.0","244.2","1.3","0.8","131.7"
"","high","146.0","549.0","4.0","36.0","262.0","2.0","0.7","142.3"
"","low","113.0","428.0","2.0","34.0","235.0","1.0","1.0","127.6"
"Woody Marks","HOU","142.7","555.8","2.7","24.1","197.4","1.8","0.8","124.4"
"","high","150.0","580.5","3.0","27.0","214.0","3.0","0.7","129.7"
"","low","135.0","527.0","2.0","21.0","177.0","1.0","1.0","115.1"
"Zach Charbonnet","SEA","130.5","533.0","5.6","19.8","147.0","0.5","0.7","123.1"
"","high","136.6","555.1","7.0","20.3","161.0","1.0","0.3","133.4"
"","low","127.0","507.0","3.0","19.0","135.0","0.0","1.0","107.8"
"Tyrone Tracy Jr.","NYG","119.7","506.8","2.5","27.3","210.8","1.2","0.8","120.0"
"","high","134.0","568.0","3.0","32.0","245.0","2.0","0.6","139.8"
"","low","111.2","472.4","1.6","19.9","146.3","0.7","1.0","102.0"
"Isiah Pacheco","DET","139.5","581.8","3.5","21.1","136.4","0.6","0.8","116.0"
"","high","148.5","639.3","4.5","26.0","156.0","1.0","0.5","127.4"
"","low","122.0","489.0","3.0","17.2","114.2","0.0","1.0","103.1"
"Justice Hill","BAL","56.4","273.7","2.2","32.7","283.4","1.8","0.2","112.1"
"","high","64.0","324.0","3.0","39.4","348.9","2.0","0.0","107.5"
"","low","48.8","223.4","1.4","26.0","218.0","1.7","0.4","99.7"
"Dylan Sampson","CLE","73.5","254.1","1.4","35.9","285.1","2.1","1.2","107.9"
"","high","105.0","289.0","2.0","40.0","332.0","3.0","0.4","130.0"
"","low","54.6","228.4","1.0","29.6","207.2","1.2","2.0","93.2"
"AJ Dillon","CAR","120.0","529.0","3.0","18.0","146.0","1.0","5.0","99.5"
"","high","120.0","529.0","3.0","18.0","146.0","1.0","5.0","84.0"
"","low","120.0","529.0","3.0","18.0","146.0","1.0","5.0","84.0"
"Ty Johnson","BUF","51.9","218.8","2.0","24.9","252.7","2.1","0.2","96.5"
"","high","53.0","225.0","2.1","29.0","280.0","3.0","0.0","111.6"
"","low","50.8","212.0","2.0","21.6","208.0","1.3","0.4","88.0"
"Braelon Allen","NYJ","111.8","449.0","4.5","13.9","100.8","0.7","1.7","96.5"
"","high","141.0","550.0","6.0","15.0","111.0","1.0","0.4","100.9"
"","low","82.6","348.1","2.9","12.7","90.5","0.4","3.0","77.8"
"Samaje Perine","CIN","98.5","441.8","3.7","17.9","135.7","0.4","1.9","96.1"
"","high","101.1","443.0","4.0","18.8","139.4","0.7","0.8","99.6"
"","low","96.0","440.6","3.4","17.0","132.0","0.0","3.0","76.9"
"Chris Rodriguez Jr.","JAC","135.5","560.8","5.1","5.4","42.8","0.1","0.6","95.6"
"","high","177.0","694.0","8.0","10.0","76.0","0.2","0.3","113.4"
"","low","100.5","432.3","3.4","2.0","23.0","0.0","1.0","72.7"
"Tyler Allgeier","ARI","111.7","424.8","4.2","17.1","108.4","0.2","0.6","95.2"
"","high","126.0","465.0","5.0","18.1","125.8","0.4","0.2","90.2"
"","low","97.4","384.7","3.3","16.0","91.0","0.0","1.0","87.1"
"Brian Robinson Jr.","ATL","129.8","564.2","4.3","6.9","43.1","0.1","0.7","93.0"
"","high","134.6","568.0","5.0","8.8","59.1","0.3","0.5","92.1"
"","low","125.0","560.4","3.7","5.0","27.0","0.0","1.0","84.9"
"Jordan James","SF","100.1","407.1","3.1","16.1","148.5","0.7","1.2","91.8"
"","high","125.0","493.0","4.0","24.0","234.0","1.0","0.3","98.1"
"","low","75.2","321.2","2.2","8.2","62.9","0.3","2.0","69.0"
"Keaton Mitchell","LAC","95.6","432.8","2.2","15.5","114.5","0.4","0.7","84.4"
"","high","108.0","473.0","2.4","20.1","157.0","0.8","0.5","89.4"
"","low","83.3","392.6","2.0","11.0","72.0","0.0","1.0","66.5"
"Mike Washington Jr.","LV","101.0","379.6","2.6","15.7","127.5","0.6","1.2","83.5"
"","high","114.0","397.0","3.0","23.0","195.0","1.0","0.4","79.7"
"","low","88.0","362.2","2.2","8.4","60.0","0.3","2.0","72.5"
"Emari Demercado","KC","76.8","427.0","1.7","16.4","119.7","0.8","1.7","82.7"
"","high","100.0","598.0","2.0","17.0","131.0","1.0","0.3","85.4"
"","low","53.7","255.9","1.4","15.7","108.3","0.6","3.0","64.4"
"Tank Bigsby","PHI","104.6","510.9","4.2","3.8","31.8","0.1","0.7","82.2"
"","high","126.0","649.0","5.0","4.0","35.0","0.1","0.4","88.8"
"","low","83.2","372.8","3.4","3.6","28.7","0.0","1.0","64.4"
"Kaelon Black","SF","93.7","369.8","3.0","8.5","79.2","0.6","1.1","72.9"
"","high","152.0","593.0","5.0","13.0","127.0","1.0","0.2","95.5"
"","low","35.4","146.6","1.0","4.1","31.4","0.2","2.0","33.4"
"Najee Harris","NYG","80.0","353.0","3.0","9.0","75.0","0.0","0.0","69.8"
"","high","80.0","353.0","3.0","9.0","75.0","0.0","0.0","57.0"
"","low","80.0","353.0","3.0","9.0","75.0","0.0","0.0","57.0"
"Adam Randall","BAL","55.1","281.2","2.0","10.8","108.4","1.1","0.6","67.0"
"","high","81.0","441.0","3.0","18.0","188.0","2.0","0.1","85.8"
"","low","29.3","121.3","0.9","3.6","28.8","0.2","1.0","32.3"
"Chris Brooks","GB","72.7","324.1","1.3","13.4","93.3","0.2","0.6","63.2"
"","high","123.0","550.0","2.0","15.0","104.0","0.4","0.1","74.4"
"","low","22.4","98.3","0.6","11.8","82.5","0.0","1.0","37.6"
"James Conner","ARI","42.5","153.5","1.5","18.0","131.5","1.0","0.0","61.5"
"","high","85.0","307.0","3.0","36.0","263.0","2.0","0.0","88.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0"
"Kimani Vidal","LAC","60.2","234.2","1.6","11.9","104.5","0.7","0.1","59.0"
"","high","87.0","332.0","2.0","16.0","146.0","1.0","0.0","59.9"
"","low","33.3","136.4","1.1","7.8","63.0","0.4","0.2","40.4"
"Kyle Juszczyk","SF","4.2","10.3","0.1","23.7","209.0","1.5","0.1","54.8"
"","high","4.4","18.6","0.2","27.0","256.0","2.0","0.0","53.7"
"","low","4.0","2.0","0.0","20.4","162.1","1.0","0.1","48.2"
"Jaydon Blue","DAL","62.4","263.0","1.9","8.7","61.7","0.4","0.3","54.6"
"","high","62.4","263.0","1.9","8.7","61.7","0.4","0.3","54.9"
"","low","62.4","263.0","1.9","8.7","61.7","0.4","0.3","54.9"
"MarShawn Lloyd","GB","62.3","259.0","1.9","8.5","62.9","0.4","0.2","54.0"
"","high","89.6","381.0","2.8","16.1","113.7","0.7","0.0","78.8"
