"Player","Team","REC","YDS","TDS","FL","FPTS"
"Thomas Fidone II","NYG","10.0","101.0","1.0","0.0","26.1"
"","high","10.0","101.0","1.0","0.0","20.0"
"","low","10.0","101.0","1.0","0.0","20.0"
"Seydou Traore","MIA","9.0","88.0","1.0","0.0","23.8"
"","high","9.0","88.0","1.0","0.0","19.0"
"","low","9.0","88.0","1.0","0.0","19.0"
"Durham Smythe","BAL","9.8","94.0","0.7","0.1","23.5"
"","high","9.8","94.0","0.7","0.1","23.6"
"","low","9.8","94.0","0.7","0.1","23.6"
"Mitchell Evans","CAR","8.0","71.5","1.0","0.0","21.2"
"","high","16.0","143.0","2.0","0.0","26.0"
"","low","0.0","0.0","0.0","0.0","8.0"
"Payne Durham","TB","7.6","80.8","0.8","0.0","20.5"
"","high","8.0","91.0","1.0","0.0","18.5"
"","low","7.2","70.6","0.6","0.1","17.6"
"Max Klare","LAR","8.0","82.6","0.7","0.0","20.3"
"","high","12.0","127.0","1.0","0.0","19.0"
"","low","4.0","38.2","0.4","0.0","13.9"
"Tanner Koziol","JAC","7.0","73.8","0.6","0.0","18.1"
"","high","10.0","111.0","1.0","0.0","17.0"
"","low","3.9","36.7","0.3","0.0","12.3"
"Oscar Delp","NO","7.8","74.2","0.5","0.1","18.0"
"","high","7.8","74.2","0.5","0.1","18.0"
"","low","7.8","74.2","0.5","0.1","18.0"
"Sam Roush","CHI","6.8","72.4","0.6","0.0","17.9"
"","high","10.0","111.0","1.0","0.0","16.8"
"","low","3.7","33.8","0.3","0.0","11.9"
"Tip Reiman","ARI","7.9","62.2","0.6","0.0","17.7"
"","high","12.0","90.0","1.0","0.0","17.9"
"","low","3.8","34.4","0.2","0.0","12.5"
"Devin Culp","TB","5.5","59.0","1.0","0.0","17.4"
"","high","11.0","118.0","2.0","0.0","21.5"
"","low","0.0","0.0","0.0","0.0","5.5"
"Ian Thomas","LV","6.9","62.0","0.6","0.0","16.5"
"","high","10.0","88.0","1.0","0.0","16.9"
"","low","3.8","36.0","0.2","0.0","11.4"
"Joe Royer","CLE","7.5","67.4","0.3","0.1","16.2"
"","high","7.5","67.4","0.3","0.1","16.3"
"","low","7.5","67.4","0.3","0.1","16.3"
"Josh Cuevas","BAL","5.7","66.4","0.6","0.0","16.2"
"","high","8.0","97.0","1.0","0.0","15.7"
"","low","3.3","35.8","0.3","0.0","11.0"
"Hunter Long","JAC","5.0","45.0","1.0","0.0","15.5"
"","high","10.0","90.0","2.0","0.0","21.0"
"","low","0.0","0.0","0.0","0.0","5.0"
"Chris Manhertz","NYG","5.4","50.6","0.6","0.0","13.8"
"","high","9.0","85.0","1.0","0.0","15.4"
"","low","1.8","16.3","0.1","0.0","7.7"
"Lucas Krull","DEN","6.0","44.5","0.5","0.0","13.5"
"","high","12.0","89.0","1.0","0.0","16.0"
"","low","0.0","0.0","0.0","0.0","6.0"
"Luke Farrell","SF","4.2","40.7","0.3","0.0","9.9"
"","high","4.2","40.7","0.3","0.0","10.0"
"","low","4.2","40.7","0.3","0.0","10.0"
"Justin Joly","DEN","4.0","37.9","0.3","0.0","9.5"
"","high","4.0","37.9","0.3","0.0","9.6"
"","low","4.0","37.9","0.3","0.0","9.6"
"Brevyn Spann-Ford","DAL","3.9","36.7","0.3","0.0","9.4"
"","high","3.9","36.7","0.3","0.0","9.5"
"","low","3.9","36.7","0.3","0.0","9.5"
"CJ Dippre","NE","3.9","37.3","0.3","0.0","9.2"
"","high","3.9","37.3","0.3","0.0","9.2"
"","low","3.9","37.3","0.3","0.0","9.2"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","9.0"
"","high","3.7","36.1","0.3","0.0","9.1"
"","low","3.7","36.1","0.3","0.0","9.1"
"Tyler Conklin","DET","3.7","37.9","0.3","0.0","8.9"
"","high","3.7","37.9","0.3","0.0","8.9"
"","low","3.7","37.9","0.3","0.0","8.9"
"Drew Ogletree","IND","3.6","36.3","0.3","0.0","8.8"
"","high","3.6","36.3","0.3","0.0","8.8"
"","low","3.6","36.3","0.3","0.0","8.8"
"Josh Whyle","GB","3.6","33.0","0.3","0.0","8.8"
"","high","3.6","33.0","0.3","0.0","8.8"
"","low","3.6","33.0","0.3","0.0","8.8"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","8.6"
"","high","3.4","34.4","0.3","0.0","8.6"
"","low","3.4","34.4","0.3","0.0","8.6"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","8.2"
"","high","3.5","35.4","0.2","0.0","8.2"
"","low","3.5","35.4","0.2","0.0","8.2"
"Jack Stoll","CLE","3.6","30.4","0.2","0.0","7.5"
"","high","3.6","30.4","0.2","0.0","7.6"
"","low","3.6","30.4","0.2","0.0","7.6"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
""
""
