"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Davante Adams","LAR","68.8","926.2","10.2","0.0","0.0","0.0","0.2","222.3"
"","high","70.0","1016.5","10.6","0.0","0.0","0.0","0.0","254.9"
"","low","67.5","851.0","10.0","0.0","0.0","0.0","0.4","206.8"
"Tee Higgins","CIN","70.8","965.4","9.1","0.0","0.0","0.0","0.2","221.7"
"","high","74.0","1034.0","11.0","0.0","0.0","0.0","0.0","241.9"
"","low","65.0","906.0","8.0","0.0","0.0","0.0","0.4","216.9"
"Ladd McConkey","LAC","79.2","1010.1","6.8","0.0","0.0","0.0","0.3","220.3"
"","high","82.0","1039.4","8.0","0.0","0.0","0.0","0.0","248.8"
"","low","76.0","956.0","6.0","0.0","0.0","0.0","0.6","220.6"
"Jameson Williams","DET","64.4","1065.7","6.6","7.3","42.0","0.5","0.2","217.3"
"","high","66.0","1088.0","7.0","8.0","45.1","1.0","0.0","252.4"
"","low","63.0","1026.2","5.7","7.0","39.0","0.0","0.4","208.6"
"Jaylen Waddle","DEN","74.2","992.2","6.0","1.7","12.4","0.0","0.3","210.2"
"","high","76.6","996.0","6.0","3.0","25.0","0.1","0.0","244.9"
"","low","72.0","987.0","6.0","0.0","0.0","0.0","0.7","201.2"
"Terry McLaurin","WAS","69.0","972.5","7.4","0.3","0.3","0.0","0.3","209.9"
"","high","77.0","1053.4","10.0","1.0","1.0","0.0","0.0","231.2"
"","low","65.0","927.0","6.0","0.0","0.0","0.0","0.6","210.7"
"DJ Moore","BUF","69.4","905.1","7.0","10.3","54.0","0.5","0.8","208.5"
"","high","71.0","955.0","8.0","16.0","81.0","1.0","0.6","240.9"
"","low","67.2","815.0","6.0","6.9","36.0","0.0","1.0","196.4"
"Luther Burden III","CHI","72.7","973.1","5.7","7.7","38.2","0.1","0.3","208.1"
"","high","75.1","1056.0","6.0","9.1","49.5","0.4","0.0","239.6"
"","low","70.0","926.0","5.1","6.0","32.0","0.0","0.7","203.5"
"Rome Odunze","CHI","62.4","963.4","7.8","0.3","1.3","0.0","0.3","205.1"
"","high","65.0","1029.1","8.4","1.0","4.0","0.0","0.0","231.4"
"","low","59.3","916.0","7.0","0.0","0.0","0.0","0.6","193.4"
"Mike Evans","SF","67.4","950.8","7.0","0.0","0.0","0.0","0.2","203.8"
"","high","76.0","994.0","8.0","0.0","0.0","0.0","0.0","239.4"
"","low","57.1","903.3","5.9","0.0","0.0","0.0","0.4","192.8"
"Courtland Sutton","DEN","67.4","884.7","7.2","0.0","0.0","0.0","0.2","198.6"
