player,team,position,player_key,projected_points,source_high_points,source_low_points,modeled_floor,modeled_ceiling,projection_range,position_rank,overall_projection_rank,fantasypros_points,modeled_average_fg_distance,historical_made_kicks,kicker_distance_source,expected_pa_bucket_points,fantasypros_roster_rank,fantasypros_position_rank,fantasypros_listed_points,fantasypros_injury_status,fantasypros_roster_pool,projected_starter_pool,projected_starter_role,starter_context_market_rank,custom_minus_fantasypros_listed_points
Chris Godwin Jr.,TB,WR,chrisgodwin,175.82,195.3,156.28,156.28,195.3,39.02,42,121,175.7,,,,0.0,117.0,43.0,176.0,,True,False,,,-0.18
Quentin Johnston,LAC,WR,quentinjohnston,169.92,191.38,152.3,152.3,191.38,39.08,43,126,169.9,,,,0.0,123.0,44.0,170.0,,True,False,,,-0.08
Jordan Addison,MIN,WR,jordanaddison,169.15,187.33,154.24,154.24,187.33,33.09,44,128,168.9,,,,0.0,124.0,45.0,169.0,DTD,True,False,,,0.15
Deebo Samuel Sr.,SF,WR,deebosamuel,168.89,181.14,155.94,155.94,181.14,25.2,45,129,168.8,,,,0.0,125.0,46.0,169.0,,True,False,,,-0.11
Josh Downs,IND,WR,joshdowns,168.68,191.17,151.88,151.88,191.17,39.29,46,130,169.1,,,,0.0,114.0,40.0,178.0,DTD,True,False,,,-9.32
Xavier Worthy,KC,WR,xavierworthy,167.61,184.12,152.0,152.0,184.12,32.12,47,132,167.5,,,,0.0,126.0,47.0,168.0,DTD,True,False,,,-0.39
Stefon Diggs,WAS,WR,stefondiggs,166.62,177.9,154.65,154.65,177.9,23.25,48,137,166.3,,,,0.0,131.0,48.0,166.0,,True,False,,,0.62
Matthew Golden,GB,WR,matthewgolden,165.19,188.81,142.48,142.48,188.81,46.33,49,141,165.5,,,,0.0,132.0,49.0,165.0,,True,False,,,0.19
Khalil Shakir,BUF,WR,khalilshakir,164.68,173.25,152.0,152.0,173.25,21.25,50,143,164.9,,,,0.0,133.0,50.0,165.0,,True,False,,,-0.32
KC Concepcion,CLE,WR,kcconcepcion,159.86,172.4,147.02,147.02,172.4,25.38,51,153,159.6,,,,0.0,135.0,51.0,160.0,,True,False,,,-0.14
Keenan Allen,IND,WR,keenanallen,159.5,159.5,159.5,159.5,159.5,0.0,52,154,159.5,,,,0.0,,,,,False,False,,,
Jalen Coker,CAR,WR,jalencoker,157.85,170.8,144.9,144.9,170.8,25.9,53,159,157.7,,,,0.0,146.0,52.0,158.0,,True,False,,,-0.15
Rashid Shaheed,SEA,WR,rashidshaheed,157.32,178.3,135.12,135.12,178.3,43.18,54,161,156.8,,,,0.0,147.0,53.0,157.0,,True,False,,,0.32
Romeo Doubs,NE,WR,romeodoubs,156.43,165.7,148.19,148.19,165.7,17.51,55,163,156.5,,,,0.0,148.0,54.0,156.0,,True,False,,,0.43
De'Zhaun Stribling,SF,WR,dezhaunstribling,151.71,176.2,126.71,126.71,176.2,49.49,56,171,151.5,,,,0.0,,,,,False,False,,,
Makai Lemon,PHI,WR,makailemon,151.07,155.64,146.0,146.0,155.64,9.64,57,175,150.8,,,,0.0,,,,,False,False,,,
Denzel Boston,CLE,WR,denzelboston,150.45,163.8,137.2,137.2,163.8,26.6,58,177,150.4,,,,0.0,,,,,False,False,,,
Calvin Ridley,TEN,WR,calvinridley,148.1,164.31,132.48,132.48,164.31,31.83,59,182,148.1,,,,0.0,,,,,False,False,,,
Jayden Higgins,HOU,WR,jaydenhiggins,146.01,163.23,129.1,129.1,163.23,34.13,60,186,146.1,,,,0.0,,,,,False,False,,,
Jerry Jeudy,CLE,WR,jerryjeudy,145.64,153.9,137.18,137.18,153.9,16.72,61,188,145.4,,,,0.0,,,,,False,False,,,
Tre Tucker,LV,WR,tretucker,142.82,155.36,128.9,128.9,155.36,26.46,62,194,142.3,,,,0.0,,,,,False,False,,,
Tank Dell,HOU,WR,tankdell,140.95,178.4,104.11,104.11,178.4,74.29,63,199,141.2,,,,0.0,,,,,False,False,,,
Jauan Jennings,MIN,WR,jauanjennings,134.27,154.9,112.93,112.93,154.9,41.97,64,209,134.1,,,,0.0,,,,,False,False,,,
Rashod Bateman,BAL,WR,rashodbateman,134.26,149.43,119.4,119.4,149.43,30.03,65,210,134.3,,,,0.0,,,,,False,False,,,
Jalen McMillan,TB,WR,jalenmcmillan,133.61,138.0,129.93,129.93,138.0,8.07,66,211,133.8,,,,0.0,,,,,False,False,,,
Jalen Nailor,LV,WR,jalennailor,130.27,142.74,118.3,118.3,142.74,24.44,67,214,130.5,,,,0.0,,,,,False,False,,,
Devaughn Vele,NO,WR,devaughnvele,125.89,132.6,119.07,119.07,132.6,13.53,68,225,125.8,,,,0.0,,,,,False,False,,,
Ja'Kobi Lane,BAL,WR,jakobilane,125.38,152.5,98.97,98.97,152.5,53.53,69,226,125.7,,,,0.0,,,,,False,False,,,
Cooper Kupp,SEA,WR,cooperkupp,125.03,150.5,99.87,99.87,150.5,50.63,70,228,125.2,,,,0.0,,,,,False,False,,,
Jordyn Tyson,NO,WR,jordyntyson,124.9,163.2,98.22,98.22,163.2,64.98,71,229,125.2,,,,0.0,,,,,False,False,,,
Adonai Mitchell,NYJ,WR,adonaimitchell,114.14,125.57,102.0,102.0,125.57,23.57,72,241,113.9,,,,0.0,,,,,False,False,,,
