player,team,position,player_key,projected_points,source_high_points,source_low_points,modeled_floor,modeled_ceiling,projection_range,position_rank,overall_projection_rank,fantasypros_points,modeled_average_fg_distance,historical_made_kicks,kicker_distance_source,expected_pa_bucket_points,fantasypros_roster_rank,fantasypros_position_rank,fantasypros_listed_points,fantasypros_injury_status,fantasypros_roster_pool,projected_starter_pool,projected_starter_role,starter_context_market_rank,custom_minus_fantasypros_listed_points
Carson Beck,ARI,QB,carsonbeck,26.55,40.76,6.34,6.34,40.76,34.42,37,421,23.2,,,,0.0,,,,,False,False,,,
J.J. McCarthy,MIN,QB,jjmccarthy,24.72,50.34,7.08,7.08,50.34,43.26,38,425,22.5,,,,0.0,,,,,False,False,,,
Marcus Mariota,WAS,QB,marcusmariota,21.15,31.86,10.84,10.84,31.86,21.02,39,438,18.0,,,,0.0,,,,,False,False,,,
Davis Mills,HOU,QB,davismills,14.8,23.54,8.85,8.85,23.54,14.69,40,464,12.7,,,,0.0,,,,,False,False,,,
Riley Leonard,IND,QB,rileyleonard,14.46,24.56,7.69,7.69,24.56,16.87,41,468,12.4,,,,0.0,,,,,False,False,,,
Shane Buechele,BUF,QB,shanebuechele,14.04,14.04,14.04,14.04,14.04,0.0,42,470,12.0,,,,0.0,,,,,False,False,,,
Justin Fields,KC,QB,justinfields,13.65,17.98,10.15,10.15,17.98,7.83,43,471,12.1,,,,0.0,,,,,False,False,,,
Will Levis,TEN,QB,willlevis,13.34,13.34,13.34,13.34,13.34,0.0,44,473,11.3,,,,0.0,,,,,False,False,,,
Jarrett Stidham,DEN,QB,jarrettstidham,13.18,15.56,10.8,10.8,15.56,4.76,45,474,11.2,,,,0.0,,,,,False,False,,,
Quinn Ewers,MIA,QB,quinnewers,13.08,21.74,6.56,6.56,21.74,15.18,46,475,11.6,,,,0.0,,,,,False,False,,,
Tyson Bagent,CHI,QB,tysonbagent,13.04,15.8,11.23,11.23,15.8,4.57,47,476,11.5,,,,0.0,,,,,False,False,,,
Jameis Winston,NYG,QB,jameiswinston,12.88,23.08,5.43,5.43,23.08,17.65,48,477,11.7,,,,0.0,,,,,False,False,,,
Joshua Dobbs,DET,QB,joshuadobbs,12.85,14.7,9.8,9.8,14.7,4.9,49,478,10.7,,,,0.0,,,,,False,False,,,
Tommy DeVito,NE,QB,tommydevito,12.55,12.55,12.55,12.55,12.55,0.0,50,479,10.6,,,,0.0,,,,,False,False,,,
Anthony Richardson Sr.,IND,QB,anthonyrichardson,12.36,12.36,12.36,12.36,12.36,0.0,51,480,10.4,,,,0.0,,,,,False,False,,,
Tanner McKee,PHI,QB,tannermckee,12.23,13.72,10.33,10.33,13.72,3.39,52,481,10.3,,,,0.0,,,,,False,False,,,
Sam Howell,DAL,QB,samhowell,12.07,12.07,12.07,12.07,12.07,0.0,53,482,10.2,,,,0.0,,,,,False,False,,,
Mac Jones,SF,QB,macjones,12.05,14.52,9.85,9.85,14.52,4.67,54,483,10.5,,,,0.0,,,,,False,False,,,
Joe Flacco,CIN,QB,joeflacco,12.04,14.56,8.71,8.71,14.56,5.85,55,484,10.3,,,,0.0,,,,,False,False,,,
Andy Dalton,PHI,QB,andydalton,11.9,11.9,11.9,11.9,11.9,0.0,56,486,9.9,,,,0.0,,,,,False,False,,,
Jake Browning,TB,QB,jakebrowning,11.87,14.91,10.43,10.43,14.91,4.48,57,487,11.2,,,,0.0,,,,,False,False,,,
Chris Oladokun,KC,QB,chrisoladokun,11.72,11.72,11.72,11.72,11.72,0.0,58,488,9.7,,,,0.0,,,,,False,False,,,
Tyler Huntley,BAL,QB,tylerhuntley,11.71,14.72,10.3,10.3,14.72,4.42,59,489,10.6,,,,0.0,,,,,False,False,,,
Behren Morton,NE,QB,behrenmorton,11.62,11.62,11.62,11.62,11.62,0.0,60,490,9.6,,,,0.0,,,,,False,False,,,
Nick Mullens,JAC,QB,nickmullens,11.6,14.18,8.22,8.22,14.18,5.96,61,491,9.8,,,,0.0,,,,,False,False,,,
Kenny Pickett,CAR,QB,kennypickett,11.58,14.6,8.77,8.77,14.6,5.83,62,492,10.3,,,,0.0,,,,,False,False,,,
Trey Lance,LAC,QB,treylance,11.42,13.26,10.38,10.38,13.26,2.88,63,494,10.4,,,,0.0,,,,,False,False,,,
Tyrod Taylor,GB,QB,tyrodtaylor,11.41,14.88,9.34,9.34,14.88,5.54,64,495,10.9,,,,0.0,,,,,False,False,,,
Adrian Martinez,SF,QB,adrianmartinez,11.3,11.3,11.3,11.3,11.3,0.0,65,496,9.3,,,,0.0,,,,,False,False,,,
Garrett Nussmeier,KC,QB,garrettnussmeier,11.24,11.24,11.24,11.24,11.24,0.0,66,497,9.2,,,,0.0,,,,,False,False,,,
Cole Payton,PHI,QB,colepayton,11.2,11.2,11.2,11.2,11.2,0.0,67,498,9.2,,,,0.0,,,,,False,False,,,
Jalen Milroe,SEA,QB,jalenmilroe,11.1,11.1,11.1,11.1,11.1,0.0,68,499,9.1,,,,0.0,,,,,False,False,,,
Spencer Rattler,NO,QB,spencerrattler,11.1,13.14,9.25,9.25,13.14,3.89,69,500,10.2,,,,0.0,,,,,False,False,,,
Gardner Minshew II,ARI,QB,gardnerminshew,10.84,13.76,7.92,7.92,13.76,5.84,70,502,9.7,,,,0.0,,,,,False,False,,,
Drew Lock,SEA,QB,drewlock,10.78,13.86,8.29,8.29,13.86,5.57,71,503,10.0,,,,0.0,,,,,False,False,,,
Drew Allar,PIT,QB,drewallar,10.51,13.81,8.61,8.61,13.81,5.2,72,506,9.4,,,,0.0,,,,,False,False,,,
Kyle Allen,BUF,QB,kyleallen,10.5,13.84,7.04,7.04,13.84,6.8,73,507,9.1,,,,0.0,,,,,False,False,,,
Cade Klubnik,NYJ,QB,cadeklubnik,10.29,14.58,6.67,6.67,14.58,7.91,74,509,9.4,,,,0.0,,,,,False,False,,,
Mitchell Trubisky,TEN,QB,mitchelltrubisky,9.82,13.47,7.77,7.77,13.47,5.7,75,514,9.0,,,,0.0,,,,,False,False,,,
Joe Milton III,DAL,QB,joemilton,9.8,15.44,-2.0,-2.0,15.44,17.44,76,515,8.5,,,,0.0,,,,,False,False,,,
Will Howard,PIT,QB,willhoward,7.93,14.24,-2.0,-2.0,14.24,16.24,77,535,6.7,,,,0.0,,,,,False,False,,,
Mason Rudolph,PIT,QB,masonrudolph,6.55,13.1,0.0,0.0,13.1,13.1,78,539,5.6,,,,0.0,,,,,False,False,,,
Brady Cook,NYJ,QB,bradycook,5.45,12.9,-2.0,-2.0,12.9,14.9,79,540,5.0,,,,0.0,,,,,False,False,,,
Aidan O'Connell,LV,QB,aidanoconnell,0.0,0.0,0.0,0.0,0.0,0.0,80,548,0.0,,,,0.0,,,,,False,False,,,
Josh Johnson,CIN,QB,joshjohnson,0.0,0.0,0.0,0.0,0.0,0.0,80,548,0.0,,,,0.0,,,,,False,False,,,
Stetson Bennett IV,LAR,QB,stetsonbennett,0.0,0.0,0.0,0.0,0.0,0.0,80,548,0.0,,,,0.0,,,,,False,False,,,
Jahmyr Gibbs,DET,RB,jahmyrgibbs,372.75,396.7,347.19,347.19,396.7,49.51,1,2,372.9,,,,0.0,1.0,1.0,373.0,,True,True,RB,1,-0.25
Bijan Robinson,ATL,RB,bijanrobinson,369.94,400.6,348.14,348.14,400.6,52.46,2,4,369.5,,,,0.0,2.0,2.0,370.0,,True,True,RB,2,-0.06
Christian McCaffrey,SF,RB,christianmccaffrey,334.76,351.1,312.5,312.5,351.1,38.6,3,21,334.8,,,,0.0,3.0,3.0,335.0,DTD,True,True,RB,3,-0.24
Jonathan Taylor,IND,RB,jonathantaylor,310.51,346.54,280.1,280.1,346.54,66.44,4,28,310.1,,,,0.0,7.0,4.0,312.0,,True,True,RB,7,-1.49
De'Von Achane,MIA,RB,devonachane,292.39,336.95,256.1,256.1,336.95,80.85,5,33,292.4,,,,0.0,10.0,5.0,292.0,,True,True,RB,10,0.39
Chase Brown,CIN,RB,chasebrown,278.84,307.7,250.3,250.3,307.7,57.4,6,36,278.5,,,,0.0,11.0,6.0,279.0,,True,True,RB,11,-0.16
Ashton Jeanty,LV,RB,ashtonjeanty,276.28,322.48,245.9,245.9,322.48,76.58,7,37,276.7,,,,0.0,12.0,7.0,277.0,,True,True,RB,12,-0.72
Derrick Henry,BAL,RB,derrickhenry,273.69,301.74,246.75,246.75,301.74,54.99,8,39,273.7,,,,0.0,13.0,8.0,274.0,,True,True,RB,13,-0.31
James Cook III,BUF,RB,jamescook,270.58,284.21,254.7,254.7,284.21,29.51,9,42,270.6,,,,0.0,14.0,9.0,271.0,,True,True,RB,14,-0.42
Saquon Barkley,PHI,RB,saquonbarkley,264.45,283.71,246.3,246.3,283.71,37.41,10,43,264.7,,,,0.0,16.0,10.0,265.0,,True,True,RB,16,-0.55
Kenneth Walker III,KC,RB,kennethwalker,257.85,274.66,236.0,236.0,274.66,38.66,11,48,258.0,,,,0.0,17.0,11.0,258.0,,True,True,RB,17,-0.15
Jeremiyah Love,ARI,RB,jeremiyahlove,255.3,285.42,225.3,225.3,285.42,60.12,12,51,255.4,,,,0.0,18.0,12.0,255.0,DTD,True,True,RB,18,0.3
Omarion Hampton,LAC,RB,omarionhampton,254.39,271.5,228.7,228.7,271.5,42.8,13,53,254.2,,,,0.0,19.0,13.0,254.0,,True,True,RB,19,0.39
Josh Jacobs,GB,RB,joshjacobs,248.26,265.4,226.3,226.3,265.4,39.1,14,56,248.6,,,,0.0,22.0,14.0,249.0,DTD,True,True,RB,22,-0.74
Breece Hall,NYJ,RB,breecehall,245.78,272.22,216.3,216.3,272.22,55.92,15,57,245.4,,,,0.0,25.0,15.0,245.0,,True,True,RB,25,0.78
Kyren Williams,LAR,RB,kyrenwilliams,240.4,253.1,228.51,228.51,253.1,24.59,16,61,240.2,,,,0.0,28.0,17.0,240.0,,True,True,RB,28,0.4
Cam Skattebo,NYG,RB,camskattebo,239.41,263.0,213.19,213.19,263.0,49.81,17,63,239.2,,,,0.0,27.0,16.0,241.0,,True,True,RB,27,-1.59
Javonte Williams,DAL,RB,javontewilliams,234.6,258.52,213.9,213.9,258.52,44.62,18,65,234.1,,,,0.0,31.0,18.0,234.0,,True,True,RB,31,0.6
Travis Etienne Jr.,NO,RB,travisetienne,232.54,261.74,207.5,207.5,261.74,54.24,19,67,232.6,,,,0.0,34.0,19.0,233.0,,True,True,RB,34,-0.46
Bucky Irving,TB,RB,buckyirving,223.34,246.6,205.33,205.33,246.6,41.27,20,69,223.7,,,,0.0,37.0,20.0,224.0,,True,True,RB,37,-0.66
D'Andre Swift,CHI,RB,dandreswift,222.79,241.8,202.77,202.77,241.8,39.03,21,70,223.4,,,,0.0,38.0,21.0,223.0,,True,True,RB,38,-0.21
Quinshon Judkins,CLE,RB,quinshonjudkins,214.11,244.1,187.8,187.8,244.1,56.3,22,75,214.1,,,,0.0,43.0,22.0,214.0,,True,True,RB,43,0.11
Bhayshul Tuten,JAC,RB,bhayshultuten,206.77,253.5,160.4,160.4,253.5,93.1,23,82,207.3,,,,0.0,47.0,23.0,207.0,,True,True,RB,47,-0.23
Jaylen Warren,PIT,RB,jaylenwarren,197.45,210.6,184.74,184.74,210.6,25.86,24,88,197.2,,,,0.0,55.0,24.0,197.0,,True,True,RB,55,0.45
David Montgomery,HOU,RB,davidmontgomery,195.84,217.6,179.3,179.3,217.6,38.3,25,92,195.9,,,,0.0,58.0,25.0,196.0,,True,False,,,-0.16
TreVeyon Henderson,NE,RB,treveyonhenderson,193.2,204.0,181.07,181.07,204.0,22.93,26,96,193.3,,,,0.0,59.0,26.0,193.0,,True,False,,,0.2
Jadarian Price,SEA,RB,jadarianprice,189.93,211.4,166.94,166.94,211.4,44.46,27,100,189.6,,,,0.0,64.0,27.0,190.0,,True,False,,,-0.07
Tony Pollard,TEN,RB,tonypollard,187.89,202.8,171.16,171.16,202.8,31.64,28,102,187.8,,,,0.0,65.0,28.0,188.0,,True,False,,,-0.11
Rhamondre Stevenson,NE,RB,rhamondrestevenson,187.7,203.79,166.6,166.6,203.79,37.19,29,104,187.5,,,,0.0,66.0,29.0,188.0,,True,False,,,-0.3
Rico Dowdle,PIT,RB,ricodowdle,179.81,205.44,163.7,163.7,205.44,41.74,30,112,180.2,,,,0.0,72.0,30.0,180.0,,True,False,,,-0.19
Chuba Hubbard,CAR,RB,chubahubbard,176.86,210.41,152.27,152.27,210.41,58.14,31,117,176.5,,,,0.0,73.0,31.0,177.0,DTD,True,False,,,-0.14
J.K. Dobbins,DEN,RB,jkdobbins,176.3,195.24,157.14,157.14,195.24,38.1,32,119,176.1,,,,0.0,75.0,32.0,176.0,DTD,True,False,,,0.3
Kenny Gainwell,TB,RB,kennygainwell,168.31,195.3,136.4,136.4,195.3,58.9,33,131,168.2,,,,0.0,81.0,33.0,168.0,,True,False,,,0.31
RJ Harvey,DEN,RB,rjharvey,167.59,197.49,139.19,139.19,197.49,58.3,34,133,167.4,,,,0.0,82.0,34.0,167.0,,True,False,,,0.59
Rachaad White,WAS,RB,rachaadwhite,163.93,193.8,132.49,132.49,193.8,61.31,35,145,163.6,,,,0.0,86.0,35.0,164.0,,True,False,,,-0.07
Aaron Jones Sr.,MIN,RB,aaronjones,161.38,177.22,146.0,146.0,177.22,31.22,36,150,161.1,,,,0.0,87.0,36.0,161.0,,True,False,,,0.38
Jonathon Brooks,CAR,RB,jonathonbrooks,157.58,192.17,123.5,123.5,192.17,68.67,37,160,157.6,,,,0.0,90.0,37.0,158.0,,True,False,,,-0.42
Kyle Monangai,CHI,RB,kylemonangai,156.33,178.4,135.7,135.7,178.4,42.7,38,164,156.2,,,,0.0,91.0,38.0,156.0,DTD,True,False,,,0.33
Jacory Croskey-Merritt,WAS,RB,jacorycroskeymerritt,145.67,163.1,129.9,129.9,163.1,33.2,39,187,145.8,,,,0.0,101.0,39.0,146.0,,True,False,,,-0.33
Jordan Mason,MIN,RB,jordanmason,144.88,158.54,128.9,128.9,158.54,29.64,40,191,145.1,,,,0.0,105.0,40.0,145.0,,True,False,,,-0.12
Blake Corum,LAR,RB,blakecorum,138.29,158.76,118.0,118.0,158.76,40.76,41,203,138.6,,,,0.0,110.0,41.0,139.0,,True,False,,,-0.71
Tyjae Spears,TEN,RB,tyjaespears,138.27,160.91,113.9,113.9,160.91,47.01,42,204,138.1,,,,0.0,111.0,42.0,138.0,DTD,True,False,,,0.27
Alvin Kamara,NO,RB,alvinkamara,131.79,151.7,116.3,116.3,151.7,35.4,43,213,131.7,,,,0.0,121.0,43.0,132.0,,True,False,,,-0.21
Woody Marks,HOU,RB,woodymarks,124.82,141.05,107.4,107.4,141.05,33.65,44,230,124.4,,,,0.0,128.0,44.0,124.0,,True,False,,,0.82
Zach Charbonnet,SEA,RB,zachcharbonnet,123.0,139.31,99.2,99.2,139.31,40.11,45,234,123.1,,,,0.0,129.0,45.0,123.0,PUP,True,False,,,0.0
Tyrone Tracy Jr.,NYG,RB,tyronetracy,119.66,142.1,93.57,93.57,142.1,48.53,46,236,120.0,,,,0.0,130.0,46.0,122.0,,True,False,,,-2.34
Isiah Pacheco,DET,RB,isiahpacheco,115.92,137.53,93.52,93.52,137.53,44.01,47,240,116.0,,,,0.0,134.0,47.0,116.0,DTD,True,False,,,-0.08
Justice Hill,BAL,RB,justicehill,112.01,136.69,87.94,87.94,136.69,48.75,48,244,112.1,,,,0.0,145.0,48.0,112.0,,True,False,,,0.01
Dylan Sampson,CLE,RB,dylansampson,108.42,131.3,82.36,82.36,131.3,48.94,49,250,107.9,,,,0.0,,,,,False,False,,,
AJ Dillon,CAR,RB,ajdillon,99.5,99.5,99.5,99.5,99.5,0.0,50,261,99.5,,,,0.0,,,,,False,False,,,
Braelon Allen,NYJ,RB,braelonallen,96.68,122.3,70.36,70.36,122.3,51.94,51,263,96.5,,,,0.0,,,,,False,False,,,
Samaje Perine,CIN,RB,samajeperine,96.45,103.64,88.66,88.66,103.64,14.98,52,264,96.1,,,,0.0,,,,,False,False,,,
Ty Johnson,BUF,RB,tyjohnson,96.25,110.1,82.6,82.6,110.1,27.5,53,265,96.5,,,,0.0,,,,,False,False,,,
Chris Rodriguez Jr.,JAC,RB,chrisrodriguez,95.76,135.6,65.93,65.93,135.6,69.67,54,266,95.6,,,,0.0,,,,,False,False,,,
Tyler Allgeier,ARI,RB,tylerallgeier,95.62,109.18,81.37,81.37,109.18,27.81,55,267,95.2,,,,0.0,,,,,False,False,,,
Brian Robinson Jr.,ATL,RB,brianrobinson,92.63,102.31,83.94,83.94,102.31,18.37,56,276,93.0,,,,0.0,,,,,False,False,,,
Jordan James,SF,RB,jordanjames,92.06,126.1,57.61,57.61,126.1,68.49,57,278,91.8,,,,0.0,,,,,False,False,,,
Keaton Mitchell,LAC,RB,keatonmitchell,84.43,101.3,67.46,67.46,101.3,33.84,58,285,84.4,,,,0.0,,,,,False,False,,,
Mike Washington Jr.,LV,RB,mikewashington,83.21,105.4,61.62,61.62,105.4,43.78,59,288,83.5,,,,0.0,,,,,False,False,,,
Emari Demercado,KC,RB,emaridemercado,82.67,107.3,58.12,58.12,107.3,49.18,60,289,82.7,,,,0.0,,,,,False,False,,,
Tank Bigsby,PHI,RB,tankbigsby,82.47,102.2,62.15,62.15,102.2,40.05,61,290,82.2,,,,0.0,,,,,False,False,,,
Kaelon Black,SF,RB,kaelonblack,72.8,120.6,25.1,25.1,120.6,95.5,62,301,72.9,,,,0.0,,,,,False,False,,,
Najee Harris,NYG,RB,najeeharris,69.8,69.8,69.8,69.8,69.8,0.0,63,304,69.8,,,,0.0,,,,,False,False,,,
Adam Randall,BAL,RB,adamrandall,67.16,110.7,23.21,23.21,110.7,87.49,64,308,67.0,,,,0.0,,,,,False,False,,,
Chris Brooks,GB,RB,chrisbrooks,62.94,94.6,31.48,31.48,94.6,63.12,65,317,63.2,,,,0.0,,,,,False,False,,,
James Conner,ARI,RB,jamesconner,61.5,123.0,0.0,0.0,123.0,123.0,66,320,61.5,,,,0.0,,,,,False,False,,,
Kimani Vidal,LAC,RB,kimanividal,59.37,81.8,36.34,36.34,81.8,45.46,67,323,59.0,,,,0.0,,,,,False,False,,,
Kyle Juszczyk,SF,RB,kylejuszczyk,55.03,67.66,42.61,42.61,67.66,25.05,68,329,54.8,,,,0.0,,,,,False,False,,,
Jaydon Blue,DAL,RB,jaydonblue,54.37,54.37,54.37,54.37,54.37,0.0,69,332,54.6,,,,0.0,,,,,False,False,,,
MarShawn Lloyd,GB,RB,marshawnlloyd,54.09,86.57,21.1,21.1,86.57,65.47,70,333,54.0,,,,0.0,,,,,False,False,,,
Emanuel Wilson,SEA,RB,emanuelwilson,51.16,95.1,7.63,7.63,95.1,87.47,71,339,51.3,,,,0.0,,,,,False,False,,,
Jaylen Wright,MIA,RB,jaylenwright,50.54,63.69,37.88,37.88,63.69,25.81,72,341,50.7,,,,0.0,,,,,False,False,,,
Jawhar Jordan,HOU,RB,jawharjordan,50.0,95.4,5.21,5.21,95.4,90.19,73,344,50.1,,,,0.0,,,,,False,False,,,
Jonah Coleman,DEN,RB,jonahcoleman,49.6,74.7,24.1,24.1,74.7,50.6,74,345,49.4,,,,0.0,,,,,False,False,,,
Malik Davis,DAL,RB,malikdavis,46.9,95.8,-2.0,-2.0,95.8,97.8,75,352,46.9,,,,0.0,,,,,False,False,,,
LeQuint Allen Jr.,JAC,RB,lequintallen,43.61,69.73,18.4,18.4,69.73,51.33,76,364,43.8,,,,0.0,,,,,False,False,,,
Isaiah Davis,NYJ,RB,isaiahdavis,43.44,50.59,36.0,36.0,50.59,14.59,77,366,43.4,,,,0.0,,,,,False,False,,,
George Holani,SEA,RB,georgeholani,41.03,41.03,41.03,41.03,41.03,0.0,78,370,41.1,,,,0.0,,,,,False,False,,,
Ty Chandler,NO,RB,tychandler,37.6,37.6,37.6,37.6,37.6,0.0,79,373,37.6,,,,0.0,,,,,False,False,,,
Trayveon Williams,DET,RB,trayveonwilliams,36.5,36.5,36.5,36.5,36.5,0.0,80,375,36.5,,,,0.0,,,,,False,False,,,
Ray Davis,BUF,RB,raydavis,36.19,36.19,36.19,36.19,36.19,0.0,81,377,35.9,,,,0.0,,,,,False,False,,,
DJ Giddens,IND,RB,djgiddens,35.68,35.68,35.68,35.68,35.68,0.0,82,378,35.8,,,,0.0,,,,,False,False,,,
Emmett Johnson,KC,RB,emmettjohnson,35.24,46.97,23.5,23.5,46.97,23.47,83,379,35.1,,,,0.0,,,,,False,False,,,
Frank Gore Jr.,BUF,RB,frankgore,35.0,35.0,35.0,35.0,35.0,0.0,84,380,35.0,,,,0.0,,,,,False,False,,,
Ollie Gordon II,MIA,RB,olliegordon,34.42,34.42,34.42,34.42,34.42,0.0,85,383,34.8,,,,0.0,,,,,False,False,,,
Roschon Johnson,CHI,RB,roschonjohnson,34.4,34.4,34.4,34.4,34.4,0.0,86,384,34.4,,,,0.0,,,,,False,False,,,
Brashard Smith,KC,RB,brashardsmith,32.5,65.0,0.0,0.0,65.0,65.0,87,390,32.5,,,,0.0,,,,,False,False,,,
Sean Tucker,TB,RB,seantucker,31.88,36.66,27.5,27.5,36.66,9.16,88,391,32.1,,,,0.0,,,,,False,False,,,
Phil Mafah,DAL,RB,philmafah,30.55,35.2,26.71,26.71,35.2,8.49,89,400,30.9,,,,0.0,,,,,False,False,,,
Will Shipley,PHI,RB,willshipley,27.61,27.61,27.61,27.61,27.61,0.0,90,414,27.6,,,,0.0,,,,,False,False,,,
Jeremy McNichols,WAS,RB,jeremymcnichols,27.1,27.1,27.1,27.1,27.1,0.0,91,419,27.1,,,,0.0,,,,,False,False,,,
Hunter Luepke,DAL,RB,hunterluepke,25.01,25.01,25.01,25.01,25.01,0.0,92,423,25.0,,,,0.0,,,,,False,False,,,
Jam Miller,NE,RB,jammiller,25.0,25.0,25.0,25.0,25.0,0.0,93,424,25.0,,,,0.0,,,,,False,False,,,
Audric Estime,NO,RB,audricestime,23.6,23.6,23.6,23.6,23.6,0.0,94,428,23.6,,,,0.0,,,,,False,False,,,
Seth McGowan,IND,RB,sethmcgowan,23.37,34.56,11.87,11.87,34.56,22.69,95,429,23.1,,,,0.0,,,,,False,False,,,
Israel Abanikanda,DAL,RB,israelabanikanda,23.0,23.0,23.0,23.0,23.0,0.0,96,431,23.0,,,,0.0,,,,,False,False,,,
Donovan Edwards,MIA,RB,donovanedwards,22.9,22.9,22.9,22.9,22.9,0.0,97,432,22.9,,,,0.0,,,,,False,False,,,
Dameon Pierce,PHI,RB,dameonpierce,22.1,22.1,22.1,22.1,22.1,0.0,98,434,22.1,,,,0.0,,,,,False,False,,,
Kaytron Allen,WAS,RB,kaytronallen,21.46,31.34,11.48,11.48,31.34,19.86,99,435,21.5,,,,0.0,,,,,False,False,,,
Nicholas Singleton,TEN,RB,nicholassingleton,20.29,20.29,20.29,20.29,20.29,0.0,100,442,19.7,,,,0.0,,,,,False,False,,,
Demond Claiborne,MIN,RB,demondclaiborne,20.23,27.94,12.23,12.23,27.94,15.71,101,443,20.0,,,,0.0,,,,,False,False,,,
Devin Singletary,NYG,RB,devinsingletary,19.72,19.72,19.72,19.72,19.72,0.0,102,444,19.8,,,,0.0,,,,,False,False,,,
Devin Neal,NO,RB,devinneal,19.25,38.5,0.0,0.0,38.5,38.5,103,445,19.3,,,,0.0,,,,,False,False,,,
Tahj Brooks,CIN,RB,tahjbrooks,18.04,18.04,18.04,18.04,18.04,0.0,104,446,18.2,,,,0.0,,,,,False,False,,,
Michael Burton,CLE,RB,michaelburton,17.02,23.77,9.65,9.65,23.77,14.12,105,455,16.5,,,,0.0,,,,,False,False,,,
Alec Ingold,LAC,RB,alecingold,16.23,16.23,16.23,16.23,16.23,0.0,106,458,16.4,,,,0.0,,,,,False,False,,,
Isaac Guerendo,SF,RB,isaacguerendo,14.85,29.7,0.0,0.0,29.7,29.7,107,463,14.9,,,,0.0,,,,,False,False,,,
Andrew Beck,NYJ,RB,andrewbeck,14.78,21.3,8.26,8.26,21.3,13.04,108,465,14.8,,,,0.0,,,,,False,False,,,
Trevor Etienne,CAR,RB,trevoretienne,14.47,14.47,14.47,14.47,14.47,0.0,109,466,14.8,,,,0.0,,,,,False,False,,,
Adam Prentice,DEN,RB,adamprentice,10.63,10.63,10.63,10.63,10.63,0.0,110,504,10.5,,,,0.0,,,,,False,False,,,
Connor Heyward,LV,RB,connorheyward,10.44,10.44,10.44,10.44,10.44,0.0,111,508,10.2,,,,0.0,,,,,False,False,,,
Max Bredeson,MIN,RB,maxbredeson,10.09,10.09,10.09,10.09,10.09,0.0,112,510,9.6,,,,0.0,,,,,False,False,,,
Riley Nowakowski,PIT,RB,rileynowakowski,8.42,8.42,8.42,8.42,8.42,0.0,113,530,8.1,,,,0.0,,,,,False,False,,,
Reggie Gilliam,NE,RB,reggiegilliam,8.28,8.28,8.28,8.28,8.28,0.0,114,531,7.9,,,,0.0,,,,,False,False,,,
Kendre Miller,NO,RB,kendremiller,7.33,7.33,7.33,7.33,7.33,0.0,115,537,7.3,,,,0.0,,,,,False,False,,,
Patrick Ricard,NYG,RB,patrickricard,7.18,7.18,7.18,7.18,7.18,0.0,116,538,7.4,,,,0.0,,,,,False,False,,,
Kaleb Johnson,PIT,RB,kalebjohnson,4.79,4.79,4.79,4.79,4.79,0.0,117,541,4.9,,,,0.0,,,,,False,False,,,
British Brooks,HOU,RB,britishbrooks,2.4,2.4,2.4,2.4,2.4,0.0,118,545,2.4,,,,0.0,,,,,False,False,,,
Bam Knight,ARI,RB,bamknight,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Chris Collier,LV,RB,chriscollier,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
DeeJay Dallas,JAC,RB,deejaydallas,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Dylan Laube,LV,RB,dylanlaube,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Jacob Saylors,DET,RB,jacobsaylors,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Jerome Ford,WAS,RB,jeromeford,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Josh Williams,TB,RB,joshwilliams,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Kene Nwangwu,NYJ,RB,kenenwangwu,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Rasheen Ali,BAL,RB,rasheenali,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Trey Benson,ARI,RB,treybenson,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Tyler Badie,DEN,RB,tylerbadie,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Zavier Scott,MIN,RB,zavierscott,0.0,0.0,0.0,0.0,0.0,0.0,119,548,0.0,,,,0.0,,,,,False,False,,,
Puka Nacua,LAR,WR,pukanacua,339.8,343.4,337.4,337.4,343.4,6.0,1,19,339.8,,,,0.0,4.0,1.0,340.0,DTD,True,True,WR/TE Flex,4,-0.2
Ja'Marr Chase,CIN,WR,jamarrchase,335.66,350.09,322.5,322.5,350.09,27.59,2,20,336.0,,,,0.0,5.0,2.0,336.0,,True,True,WR/TE Flex,5,-0.34
Jaxon Smith-Njigba,SEA,WR,jaxonsmithnjigba,324.48,347.3,305.22,305.22,347.3,42.08,3,22,324.1,,,,0.0,8.0,3.0,324.0,,True,True,WR/TE Flex,8,0.48
