chopped_rank,tier,position,position_rank,player,team,bye,roster_pool,chopped_value,baseline_half_ppr_projection,modeled_available_points,projection_floor,projection_ceiling,expected_starts,expected_starting_points,week_1_start_pct,week_8_start_pct,week_14_start_pct,week_17_start_pct,ir_priority,news_adjustment,source_url
143,6,RB,38,Jacory Croskey-Merritt,WAS,7,Starter pool,78,139.67,132.42,125.4,155.05,4.22,44.62,63.3,30.7,4.5,0.5,,,
144,6,K,10,Tyler Loop,BAL,13,Starter pool,77,132.1,126.99,125,146,9.28,80.12,100,66.2,26.7,8.6,,,
145,6,RB,39,Aaron Jones Sr.,MIN,6,Starter pool,77,141.03,132.41,127.5,153.72,4.15,44.16,63.2,31.5,4.5,0.4,,,
146,6,QB,25,Bryce Young,CAR,5,Bench pool,77,287.87,272.33,251.5,329.8,2.63,56.4,38.4,19.4,4.3,1,,,
147,6,DST,13,Los Angeles Chargers,LAC,7,Starter pool,76,108.6,113.76,93.4,160.7,8.54,68.11,100,65.2,18,5,,,
148,6,WR,43,Jordan Addison,MIN,6,Starter pool,76,141.55,134.91,129.24,157.08,4.39,45.89,68.3,32.2,4.4,0.4,,,
149,6,K,11,Jake Bates,DET,6,Starter pool,75,135.9,127.62,125,146,8.87,77.4,100,67.2,26.9,8.5,,,
150,6,K,12,Cairo Santos,CHI,10,Starter pool,74,133.3,126.35,124,144.4,8.93,76.89,100,65.4,25.8,7.9,,,
151,6,K,13,Cam Little,JAC,7,Starter pool,74,131.5,126.77,125,146.9,8.86,76.61,100,66.4,26,8,,,
152,6,WR,44,Wan'Dale Robinson,TEN,9,Starter pool,72,141.29,132.28,128.9,151.83,4.34,44.33,65.8,29.6,3.2,0.3,,,
153,6,DST,14,Jacksonville Jaguars,JAC,7,Starter pool,71,99.9,110.09,81.4,172,7.91,62.71,100,58.4,16.5,4.9,,,
154,6,K,14,Trey Smack,GB,11,Starter pool,71,126.9,124.31,124,144,8.59,73.25,100,62,23.1,7.1,,,
155,6,DST,15,Kansas City Chiefs,KC,5,Starter pool,70,93.2,109.58,83,173,7.79,61.92,100,57.8,16.9,5.5,,,
156,6,WR,45,Xavier Worthy,KC,5,Starter pool,70,140.01,132.15,125.5,155.62,4.12,42.48,64.9,31,3.2,0.3,,,
157,6,RB,40,Jordan Mason,MIN,6,Starter pool,69,137.63,129.16,122.9,149.54,3.83,40.2,59.7,28.5,3.7,0.3,,,
158,6,K,15,Will Reichard,MIN,6,Starter pool,68,130.7,124.61,125,142.2,8.33,71.37,100,63.1,22.9,6.8,,,
159,6,K,16,Wil Lutz,DEN,10,Starter pool,68,128.5,123.05,128.5,135.9,8.38,70.63,100,61,21.5,6.1,,,
