chopped_rank,tier,position,position_rank,player,team,bye,roster_pool,chopped_value,baseline_half_ppr_projection,modeled_available_points,projection_floor,projection_ceiling,expected_starts,expected_starting_points,week_1_start_pct,week_8_start_pct,week_14_start_pct,week_17_start_pct,ir_priority,news_adjustment,source_url
186,7,TE,23,Greg Dulcich,MIA,6,Bench pool,38,106.1,99.5,90.05,119.6,2.62,22.53,41.6,19.6,3.8,0.6,,,
187,7,TE,24,Cade Otton,TB,10,Bench pool,36,101.58,96.82,79.48,128.3,2.44,21.09,37,17.4,3.8,0.5,,,
188,7,WR,59,Denzel Boston,CLE,11,Bench pool,36,121.75,114.56,109.75,133.8,2.34,22.48,42.9,13.8,0.8,0,,,
189,7,WR,60,Jayden Higgins,HOU,8,Bench pool,33,120.11,112.7,104.6,135.98,2.14,20.58,40.4,0,0.7,0.1,,,
190,7,TE,25,AJ Barner,SEA,11,Bench pool,33,100.29,95.93,86.22,119.4,2.29,19.67,36.1,16.1,3.4,0.4,,,
191,7,RB,43,Alvin Kamara,NO,8,Bench pool,33,114.29,109.44,99.3,133.7,2.01,19.62,37,0,1,0.1,,,
192,7,RB,44,Tyjae Spears,TEN,9,Bench pool,32,115.32,108.31,94.9,135.91,1.96,18.95,35.9,11.3,0.8,0,,,
193,7,WR,61,Tank Dell,HOU,8,Bench pool,31,115.95,109.31,85.11,147.4,1.9,18.45,36,0,0.8,0.1,,,
194,7,WR,62,Tre Tucker,LV,13,Bench pool,30,117.72,110.23,104.7,129.36,2,18.89,37.4,11,0.5,0.1,,,
195,7,WR,63,Jerry Jeudy,CLE,11,Bench pool,29,118.29,110.68,111.48,124.9,1.97,18.57,38.2,10.6,0.6,0,,,
196,7,RB,45,Woody Marks,HOU,8,Bench pool,28,112.77,105.93,96.9,127.55,1.74,16.78,32.5,0,0.6,0,,,
197,7,TE,26,Chig Okonkwo,WAS,7,Bench pool,28,99.98,93.68,91.35,108,1.97,16.8,32.5,14.4,2.7,0.4,,,
198,7,WR,64,Rashod Bateman,BAL,13,Bench pool,27,114.86,107.76,100.55,129.43,1.76,16.76,34.1,9.5,0.6,0,,,
199,7,TE,27,Terrance Ferguson,LAR,11,Bench pool,26,98.73,91.77,81.9,113.38,1.86,15.66,29.6,13.1,2.4,0.3,,,
200,7,RB,46,Zach Charbonnet,SEA,11,Bench pool,26,113.1,103.42,89.7,129.16,1.59,15.31,29.4,9.5,0.6,0,,,
201,7,RB,47,Tyrone Tracy Jr.,NYG,8,Bench pool,21,106.01,98.61,83.62,126.1,1.22,11.79,23.9,0,0.5,0,,,
202,7,WR,65,Jalen McMillan,TB,10,Bench pool,21,110.31,103.85,106.93,114.35,1.38,12.78,28.3,7,0.3,0,,,
203,7,WR,66,Ja'Kobi Lane,BAL,13,Bench pool,20,106.48,100.79,83.22,130.5,1.27,11.96,25.3,6.5,0.3,0,,,
204,7,RB,48,Isiah Pacheco,DET,6,Bench pool,20,105.37,99.29,84.92,124.53,1.19,11.33,25.2,7.2,0.5,0.1,,,
205,7,WR,67,Jauan Jennings,MIN,6,Bench pool,20,109.92,102.74,89.68,129.4,1.23,11.48,27.7,7,0.3,0,,,
206,7,WR,68,Jalen Nailor,LV,13,Bench pool,20,108.42,102.42,96.8,120.59,1.28,11.8,26.9,6,0.3,0,,,
207,7,WR,69,Jordyn Tyson,NO,8,Bench pool,18,102.15,98.82,80.42,132.7,1.1,10.14,23.4,0,0.2,0,,,
208,7,WR,70,Cooper Kupp,SEA,11,Bench pool,14,101.33,95.44,80.92,122,0.86,7.86,19.3,3.9,0.2,0,,,
209,7,RB,49,Chris Rodriguez Jr.,JAC,7,Bench pool,14,93.06,89.5,64.93,130.6,0.74,6.96,16.8,4,0.2,0,,,
210,7,RB,50,Justice Hill,BAL,13,Bench pool,14,95.66,90.36,74.94,116.99,0.76,7.14,16.1,4,0.2,0,,,
211,7,WR,71,Devaughn Vele,NO,8,Bench pool,13,102.24,96.23,96.57,107.85,0.82,7.46,18.9,0,0.1,0,,,
212,7,RB,51,Braelon Allen,NYJ,13,Bench pool,11,89.73,85.16,64.01,114.8,0.55,5.14,12,2.7,0.1,0,,,
213,7,RB,52,Dylan Sampson,CLE,11,Bench pool,10,90.47,84.76,67.56,111.3,0.52,4.74,11.7,2.5,0.1,0,,,
214,7,WR,72,Adonai Mitchell,NYJ,13,Bench pool,9,94.29,89.09,83,104.82,0.51,4.52,12.8,2,0,0,,,
215,7,RB,53,AJ Dillon,CAR,5,Bench pool,9,90.5,85.33,90.5,90.5,0.46,4.25,11.6,2.4,0.1,0,,,
216,7,RB,54,Jordan James,SF,8,Bench pool,9,84.01,79.37,53.51,114.1,0.38,3.5,9,0,0.1,0,,,
217,8,WR,73,Kayshon Boutte,NE,11,Bench pool,9,92.35,86.93,72.15,112.9,0.43,3.81,10.7,1.8,0,0,,,
218,8,RB,55,Brian Robinson Jr.,ATL,11,Bench pool,8,89.18,83.97,81.44,97.91,0.4,3.58,9.9,1.7,0,0,,,
219,8,WR,74,Troy Franklin,DEN,10,Bench pool,8,81.85,77.15,40,124.3,0.32,2.9,7.7,1.3,0.1,0,,,
220,8,RB,56,Tyler Allgeier,ARI,14,Bench pool,8,87.07,81.68,73.37,100.13,0.36,3.22,8.4,1.5,0,0,,,
221,8,RB,57,Samaje Perine,CIN,6,Bench pool,7,87.5,82.39,80.16,94.24,0.35,3.18,9,1.7,0.1,0,,,
222,8,WR,75,Antonio Williams,WAS,7,Bench pool,7,86.14,81.14,58.7,114.34,0.3,2.59,8,1.1,0,0,,,
223,8,WR,76,Travis Hunter,JAC,7,Bench pool,7,91.14,85.68,91.14,91.14,0.35,3.06,9.1,1.6,0,0,,,
224,8,WR,77,Malik Washington,MIA,6,Bench pool,7,89.3,84.3,76.47,102.14,0.29,2.56,8.4,1.3,0,0,,,
225,8,RB,58,Kaleb Johnson,GB,9,Bench pool,7,45,55.91,8,125,0.18,1.75,4.1,1,0,0,,Traded to GB as backfield insurance; contingency value behind Lloyd,https://www.packers.com/news/5-things-learned-from-gm-brian-gutekunst-about-packers-roster-sep-1-2026
226,8,RB,59,Chris Brooks,GB,11,Bench pool,6,58,62.59,20,120,0.2,1.88,4.2,1,0.1,0,,GB third-down/committee option while Jacobs is unavailable,https://www.packers.com/news/5-things-learned-from-gm-brian-gutekunst-about-packers-roster-sep-1-2026
227,8,RB,60,Ty Johnson,BUF,7,Bench pool,6,83.8,79.2,71.8,95.6,0.28,2.49,7.4,1,0,0,,,
228,8,RB,61,Tank Bigsby,PHI,10,Bench pool,6,80.57,75.61,60.35,100.2,0.23,2.08,5.8,1,0,0,,,
229,8,WR,78,Germie Bernard,PIT,9,Bench pool,6,88.45,83.28,86.44,91.07,0.26,2.25,7.1,1,0,0,,,
230,8,WR,79,Dontayvion Wicks,PHI,10,Bench pool,6,88.13,82.87,88.13,88.13,0.25,2.23,7,0.8,0,0,,,
231,8,WR,80,Bub Means,NO,8,Bench pool,6,87.5,82.39,87.5,87.5,0.25,2.14,6.5,0,0,0,,,
232,8,RB,62,Kaelon Black,SF,8,Bench pool,5,68.55,64.24,23.05,114.1,0.15,1.31,3.5,0,0,0,,,
233,8,WR,81,Caleb Douglas,MIA,6,Bench pool,5,85.69,80.11,72,99.23,0.19,1.69,5.9,0.7,0,0,,,
234,8,RB,63,Mike Washington Jr.,LV,13,Bench pool,5,75.36,71.17,57.42,93.9,0.14,1.28,3.6,0.6,0,0,,,
235,8,RB,64,Emari Demercado,KC,5,Bench pool,5,74.47,69.86,50.27,98.8,0.13,1.12,3.7,0.6,0,0,,,
236,8,RB,65,Keaton Mitchell,LAC,7,Bench pool,4,76.68,72.13,61.96,91.25,0.13,1.1,3.7,0.4,0,0,,,
237,8,RB,66,Adam Randall,BAL,13,Bench pool,4,61.76,58.37,21.41,101.7,0.08,0.71,2.2,0.3,0,0,,,
238,8,RB,67,James Conner,ARI,14,Bench pool,4,52.5,49.55,0,105,0.06,0.57,1.6,0.3,0,0,,,
239,8,RB,68,Emanuel Wilson,SEA,11,Bench pool,3,47.31,44.19,6.93,88.1,0.03,0.22,0.7,0.1,0,0,,,
240,8,RB,69,Malik Davis,DAL,14,Bench pool,3,44.65,42.35,-2,91.3,0.02,0.13,0.6,0,0,0,,,
241,8,RB,70,Jawhar Jordan,HOU,8,Bench pool,3,44.5,42.08,5.21,84.4,0.01,0.1,0.3,0,0,0,,,
242,8,RB,71,Kimani Vidal,LAC,7,Bench pool,2,53.42,49.93,32.44,73.8,0.01,0.04,0.3,0,0,0,,,
243,8,RB,72,Najee Harris,NYG,8,Bench pool,2,65.3,61.2,65.3,65.3,0.03,0.25,0.7,0,0,0,,,
244,8,RB,73,Jaylen Wright,MIA,6,Bench pool,2,46.94,44.24,34.38,59.94,0,0.01,0,0,0,0,,,
245,8,RB,74,Brashard Smith,KC,5,Bench pool,2,27.25,25.54,0,54.5,0,0,0,0,0,0,,,
246,8,RB,75,Kyle Juszczyk,SF,8,Bench pool,2,43.18,40.69,32.41,54.16,0,0,0,0,0,0,,,
247,8,RB,76,Jaydon Blue,DAL,14,Bench pool,2,50.02,46.87,50.02,50.02,0,0.01,0,0,0,0,,,
248,8,RB,77,Audric Estime,NO,8,Bench pool,1,22.1,20.78,22.1,22.1,0,0,0,0,0,0,,,
249,8,RB,78,Andrew Beck,NYJ,13,Bench pool,1,12.48,11.7,6.16,18.8,0,0,0,0,0,0,,,
250,8,RB,79,Alec Ingold,LAC,7,Bench pool,0,12.28,11.55,12.28,12.28,0,0,0,0,0,0,,,
251,8,RB,80,Adam Prentice,DEN,10,Bench pool,0,8.58,8.02,8.58,8.58,0,0,0,0,0,0,,,
252,8,RB,81,Bam Knight,ARI,14,Bench pool,0,0,0,0,0,0,0,0,0,0,0,,,
